points_x,points_y,celltypes,phenotypes
29.4776,28.1052,Tumour,
20.1046,25.1995,Tumour,
26.8941,24.2716,Tumour,
20.946,20.5999,Tumour,
30.8545,26.3515,Tumour,
20.7081,26.1746,Tumour,
24.777,20.3641,Tumour,
30.664,29.6659,Tumour,
24.278,24.5001,Tumour,
30.3014,20.3339,Tumour,
20.0688,26.8563,Tumour,
23.6287,23.5735,Necrotic,
24.6834,18.8356,Tumour,
23.9159,24.866,Tumour,
25.852,24.3884,Tumour,
27.8747,22.6079,Tumour,
25.3002,24.6246,Necrotic,
25.0077,22.0425,Necrotic,
31.8297,29.7646,Tumour,
25.7744,26.538,Tumour,
27.4295,20.4091,Tumour,
21.5974,21.3042,Tumour,
23.2472,19.6529,Tumour,
22.1138,30.2629,Tumour,
25.8935,22.8549,Tumour,
25.8437,21.1794,Tumour,
25.8279,20.5289,Tumour,
27.1853,28.2925,Necrotic,
21.3592,23.4953,Tumour,
30.1584,26.0971,Tumour,
24.2138,23.869,Necrotic,
26.0028,24.8823,Tumour,
24.9428,26.8075,Tumour,
24.4613,27.1535,Tumour,
31.5348,30.816,Tumour,
29.4676,22.875,Tumour,
22.5574,23.1056,Tumour,
25.1968,25.2359,Tumour,
17.7347,27.8913,Tumour,
30.6683,24.0408,Tumour,
19.5671,20.6624,Tumour,
22.6084,21.2109,Tumour,
22.3861,29.25,Tumour,
26.7616,16.9438,Tumour,
23.5118,22.6142,Tumour,
26.9295,21.6675,Tumour,
29.3734,25.7584,Tumour,
22.9376,27.6963,Tumour,
28.6411,20.89,Tumour,
27.2323,29.3675,Tumour,
25.2572,28.5476,Tumour,
22.4871,18.4759,Tumour,
21.2935,29.6365,Tumour,
29.3992,24.9121,Tumour,
27.5761,27.7805,Tumour,
19.2855,23.8541,Tumour,
18.8916,25.7449,Tumour,
27.6243,25.0723,Tumour,
20.4744,22.7947,Tumour,
22.5548,23.8408,Tumour,
24.1557,21.2279,Tumour,
27.1003,19.966,Tumour,
25.6672,25.966,Tumour,
20.1999,22.1393,Tumour,
21.6762,22.8478,Tumour,
24.9699,29.3115,Tumour,
22.555,26.4098,Tumour,
25.2429,20.7101,Tumour,
27.9924,27.3438,Tumour,
22.5998,19.4927,Tumour,
27.027,27.1407,Tumour,
29.9866,22.5314,Tumour,
21.3235,25.7008,Tumour,
19.3868,26.6416,Tumour,
22.5989,25.744,Tumour,
24.3571,30.787,Tumour,
28.1952,24.586,Necrotic,
29.7292,20.6732,Tumour,
28.5553,26.329,Tumour,
25.2741,27.7821,Tumour,
26.2766,25.9043,Necrotic,
22.0983,28.7133,Tumour,
26.2345,30.5776,Tumour,
19.5894,22.3166,Tumour,
25.3149,19.0057,Tumour,
21.2295,26.5192,Tumour,
24.1017,23.3386,Tumour,
27.9507,26.4225,Tumour,
20.6404,29.4503,Necrotic,
30.4232,28.7913,Tumour,
28.1798,23.3292,Tumour,
26.1359,18.5003,Tumour,
27.6218,26.8816,Tumour,
23.1973,20.9958,Tumour,
28.2435,19.8178,Tumour,
30.4277,27.473,Tumour,
23.6239,27.3434,Tumour,
19.8856,19.7355,Tumour,
21.5467,20.5007,Tumour,
29.1235,22.3752,Tumour,
39.9991,38.9815,Macrophage,0.7486666666666009
19.8541,24.069,Tumour,
20.398,25.7148,Necrotic,
23.9142,22.172,Necrotic,
24.6554,21.7534,Necrotic,
23.147,26.2717,Tumour,
18.7073,28.7462,Tumour,
27.3813,19.4035,Tumour,
28.996,6.99252,Macrophage,0.7490833333332675
23.6412,29.6966,Tumour,
26.0849,29.2575,Tumour,
20.1807,24.5777,Tumour,
18.5459,21.1652,Tumour,
24.2025,24.041,Necrotic,
30.0358,21.291,Tumour,
26.6572,31.4107,Tumour,
30.439,23.0449,Necrotic,
23.9744,26.7859,Tumour,
31.1597,27.3011,Tumour,
27.1743,21.009,Tumour,
23.9622,28.4637,Tumour,
22.1189,24.2666,Tumour,
25.819,21.9051,Tumour,
25.84,23.6337,Tumour,
20.4074,28.2496,Tumour,
26.6193,29.4006,Tumour,
27.0051,18.7241,Tumour,
23.3334,24.3765,Tumour,
29.0358,28.6957,Tumour,
27.3312,23.8168,Tumour,
19.3614,24.4935,Necrotic,
18.0531,26.8501,Tumour,
26.4838,22.6278,Tumour,
23.4882,18.9129,Tumour,
19.3054,23.2013,Tumour,
23.7661,31.0993,Tumour,
25.9981,28.2087,Tumour,
28.5121,22.525,Tumour,
31.9249,28.0308,Tumour,
26.1642,26.1657,Necrotic,
22.6663,20.4518,Tumour,
32.1832,24.8133,Tumour,
28.6516,21.564,Tumour,
24.5321,19.5625,Necrotic,
20.3179,21.1074,Tumour,
28.6738,18.1476,Tumour,
21.9765,23.4733,Tumour,
25.4425,29.5475,Tumour,
25.7752,25.4208,Tumour,
23.3191,30.5932,Tumour,
24.7064,21.1596,Tumour,
21.8401,21.8511,Tumour,
17.4111,26.1501,Tumour,
21.5453,30.5358,Tumour,
20.9481,21.308,Tumour,
29.5989,29.7569,Tumour,
24.1136,22.7991,Tumour,
24.6944,25.6308,Tumour,
30.1704,27.9791,Tumour,
28.5299,24.8596,Tumour,
23.124,23.8688,Tumour,
23.8443,26.1802,Tumour,
29.9096,25.4593,Tumour,
29.3153,27.5383,Tumour,
27.0056,23.2863,Tumour,
26.4266,23.3511,Tumour,
27.9965,21.002,Tumour,
25.4908,22.4496,Tumour,
24.386,18.236,Tumour,
26.4033,22.0047,Tumour,
20.9365,25.1996,Tumour,
18.4591,27.4989,Tumour,
25.2373,30.3369,Tumour,
26.4362,21.2086,Tumour,
19.2649,21.4218,Tumour,
29.1795,23.6109,Tumour,
19.5416,25.7151,Tumour,
20.4604,19.4183,Tumour,
27.1306,17.7923,Tumour,
23.1573,23.0569,Macrophage,0.5564999999999554
25.9709,19.0453,Macrophage,0.6838333333332747
23.4512,28.0854,Tumour,
23.652,25.6486,Tumour,
30.6102,26.8971,Tumour,
31.9914,29.0626,Tumour,
25.5107,24.7273,Necrotic,
23.5891,21.4983,Tumour,
21.4469,28.4369,Tumour,
23.8636,20.6414,Tumour,
26.3169,26.6598,Tumour,
22.7729,24.6044,Tumour,
24.9055,23.0599,Tumour,
22.9482,29.6559,Tumour,
26.6144,18.1212,Tumour,
25.2715,21.5134,Tumour,
18.664,24.2549,Necrotic,
30.7277,24.6772,Tumour,
28.7693,20.3069,Tumour,
23.8047,24.1663,Necrotic,
