points_x,points_y,celltypes,phenotypes
20.4005,29.1885,Necrotic,
29.8503,18.4181,Necrotic,
23.02,18.4731,Necrotic,
22.6437,24.454,Necrotic,
28.4103,23.5844,Necrotic,
24.1415,28.4105,Necrotic,
28.4362,23.8086,Necrotic,
28.3269,23.6313,Necrotic,
28.5339,25.4876,Necrotic,
24.6487,20.0021,Necrotic,
23.0006,27.6929,Necrotic,
23.7268,28.8592,Necrotic,
28.9961,21.9065,Necrotic,
20.839,24.135,Necrotic,
24.796,22.3828,Necrotic,
21.7666,27.2776,Necrotic,
24.9687,31.1197,Necrotic,
24.6903,22.1834,Necrotic,
29.5431,27.5432,Necrotic,
21.7729,27.0653,Necrotic,
28.7943,21.9541,Necrotic,
22.9814,27.1441,Necrotic,
19.0797,27.0546,Necrotic,
21.5345,12.8741,Necrotic,
21.0387,22.0831,Necrotic,
29.5843,24.1118,Necrotic,
24.6731,30.5855,Necrotic,
21.8161,29.9465,Necrotic,
22.8275,24.4701,Necrotic,
24.6964,18.922,Necrotic,
21.4771,27.2638,Necrotic,
28.4086,23.5977,Necrotic,
30.7255,20.5136,Necrotic,
29.0452,23.5559,Necrotic,
22.9278,27.6314,Necrotic,
20.0771,22.7868,Necrotic,
28.2439,23.7752,Necrotic,
22.6926,24.4146,Necrotic,
22.7784,24.6677,Necrotic,
28.7256,23.6387,Necrotic,
21.6216,16.2921,Necrotic,
23.4395,26.7815,Necrotic,
23.0645,27.6555,Necrotic,
28.4445,23.6083,Necrotic,
20.0993,23.2089,Necrotic,
28.8717,21.771,Necrotic,
18.571,21.6554,Necrotic,
20.8392,24.6985,Necrotic,
24.0449,22.9957,Necrotic,
29.2729,23.8239,Necrotic,
27.9908,22.0343,Necrotic,
35.3165,19.8998,Necrotic,
29.9688,27.5366,Necrotic,
28.5122,20.7386,Necrotic,
21.8925,27.2173,Necrotic,
19.0255,21.3281,Necrotic,
22.563,24.665,Necrotic,
24.7227,32.5017,Necrotic,
29.1822,27.4682,Necrotic,
24.1558,19.8692,Necrotic,
31.6674,22.8355,Necrotic,
17.946,24.2353,Necrotic,
23.5048,22.7228,Necrotic,
22.9161,29.5504,Necrotic,
29.1084,27.0479,Necrotic,
24.6136,28.6531,Necrotic,
24.7771,22.9551,Necrotic,
22.5559,25.9165,Necrotic,
23.4125,29.4737,Necrotic,
