points_x,points_y,celltypes,phenotypes
39.5554,37.5432,proTumourMacrophage,1.0
19.5617,43.5997,proTumourMacrophage,1.0
44.7847,31.4988,proTumourMacrophage,1.0
7.95722,29.9398,proTumourMacrophage,1.0
18.1641,41.9918,proTumourMacrophage,1.0
39.0552,36.9543,proTumourMacrophage,1.0
38.309,37.1839,proTumourMacrophage,1.0
39.9827,15.8321,proTumourMacrophage,1.0
19.6497,42.0373,proTumourMacrophage,1.0
42.678,31.4235,proTumourMacrophage,1.0
35.4246,41.2588,proTumourMacrophage,1.0
21.1758,42.2477,proTumourMacrophage,1.0
42.299,17.9282,proTumourMacrophage,1.0
10.6692,31.4332,proTumourMacrophage,1.0
38.6729,33.5313,proTumourMacrophage,1.0
24.9851,40.3207,proTumourMacrophage,1.0
31.5763,39.1614,proTumourMacrophage,1.0
15.9985,36.6874,proTumourMacrophage,1.0
37.5884,27.3883,proTumourMacrophage,1.0
38.4474,19.3622,proTumourMacrophage,1.0
27.8596,36.5965,proTumourMacrophage,1.0
31.9478,34.996,proTumourMacrophage,1.0
15.0628,28.7228,proTumourMacrophage,1.0
21.7486,33.4252,proTumourMacrophage,1.0
19.3348,32.0277,proTumourMacrophage,1.0
34.9324,25.6918,proTumourMacrophage,1.0
34.6002,32.0883,proTumourMacrophage,1.0
34.0805,30.1652,proTumourMacrophage,1.0
26.3764,29.0407,proTumourMacrophage,1.0
25.0869,33.0434,proTumourMacrophage,1.0
22.1297,27.2416,proTumourMacrophage,1.0
31.9104,23.2952,proTumourMacrophage,0.9894999999999076
19.8959,27.5263,proTumourMacrophage,1.0
31.1899,26.4336,proTumourMacrophage,0.9760833333332424
31.9073,27.0347,proTumourMacrophage,0.933249999999914
20.7171,25.5553,proTumourMacrophage,0.8936666666665849
21.1057,28.6529,proTumourMacrophage,0.9053333333332504
32.5587,28.378,proTumourMacrophage,0.9076666666665834
26.1293,30.2334,proTumourMacrophage,0.8455833333332569
30.4272,25.2791,proTumourMacrophage,0.8094999999999275
23.4845,21.2369,proTumourMacrophage,0.7991666666665953
24.7712,21.5438,proTumourMacrophage,0.7562499999999334
23.943,29.8379,proTumourMacrophage,0.747666666666601
27.1329,27.1068,proTumourMacrophage,0.7188333333332708
25.99,23.2101,proTumourMacrophage,0.7074166666666054
28.9955,27.7096,proTumourMacrophage,0.6666666666666099
23.9688,26.7531,proTumourMacrophage,0.6838333333332747
25.143,27.2199,proTumourMacrophage,0.6787499999999419
21.9284,23.8361,proTumourMacrophage,0.6048333333332834
27.6718,26.9662,proTumourMacrophage,0.5595833333332884
30.6786,22.8288,proTumourMacrophage,0.5149166666666266
22.6556,28.67,proTumourMacrophage,0.5121666666666269
27.5888,24.4772,proTumourMacrophage,0.5357499999999576
