points_x,points_y,celltypes,phenotypes
21.3203,28.3871,Tumour,
29.0957,24.4908,Tumour,
23.8039,20.879,Tumour,
15.5356,28.274,Tumour,
21.393,23.443,Tumour,
29.4237,26.8605,Tumour,
27.4221,24.4224,Tumour,
24.4519,24.4144,Tumour,
16.7662,26.4562,Tumour,
26.0143,29.2855,Tumour,
28.3118,21.0255,Tumour,
23.68,19.3866,Tumour,
26.7208,25.1197,Tumour,
20.3872,22.0877,Tumour,
31.3944,25.6123,Tumour,
19.2536,24.3816,Tumour,
28.1641,27.5079,Tumour,
22.8735,26.0097,Tumour,
21.3833,24.0014,Tumour,
25.1728,30.0549,Tumour,
26.8121,23.4921,Tumour,
28.9957,22.7239,Tumour,
27.228,18.9129,Tumour,
20.1703,23.0618,Tumour,
28.7257,22.2236,Tumour,
29.5826,26.1122,Tumour,
23.0578,24.9862,Tumour,
23.5544,29.5694,Tumour,
29.1217,28.7423,Tumour,
17.75,27.896,Tumour,
22.2952,22.978,Tumour,
27.149,25.4535,Tumour,
26.3263,26.5954,Tumour,
25.6748,22.4016,Tumour,
21.3499,29.009,Tumour,
25.2289,29.2484,Tumour,
29.3865,23.8076,Tumour,
24.7123,20.6757,Tumour,
26.313,20.4392,Tumour,
16.1758,26.1868,Tumour,
18.8112,25.2469,Tumour,
23.852,21.844,Tumour,
22.6113,25.5033,Tumour,
27.5056,28.6848,Tumour,
31.0031,27.3505,Tumour,
26.9416,21.844,Tumour,
18.6347,23.428,Tumour,
19.0229,26.1024,Tumour,
22.3105,24.2716,Tumour,
24.7004,26.7585,Tumour,
22.4501,20.1659,Tumour,
24.171,31.9173,Tumour,
20.7234,28.1841,Tumour,
25.4477,23.5617,Tumour,
29.5217,21.4635,Tumour,
22.5538,28.6157,Tumour,
22.3664,21.5256,Tumour,
19.3748,25.1691,Tumour,
24.503,30.1811,Tumour,
16.8667,25.7804,Tumour,
24.6399,27.7622,Tumour,
27.6342,27.8205,Tumour,
18.6647,26.6431,Tumour,
28.1569,25.0776,Tumour,
28.7886,28.1863,Tumour,
18.0045,25.3742,Tumour,
25.2089,27.1698,Tumour,
26.4499,22.2073,Tumour,
25.1397,20.0929,Tumour,
21.1017,27.499,Tumour,
24.016,28.2102,Tumour,
27.359,26.1761,Tumour,
19.9507,22.4687,Tumour,
28.1933,22.9809,Tumour,
23.3253,27.1444,Tumour,
19.8692,26.4297,Tumour,
21.9081,18.8179,Tumour,
26.9075,24.0396,Tumour,
26.0513,19.6146,Tumour,
24.988,25.2408,Tumour,
20.8362,22.9413,Tumour,
25.2711,27.7973,Tumour,
28.6737,23.8517,Tumour,
23.6267,22.4204,Tumour,
25.2399,31.0807,Tumour,
31.5783,26.1712,Tumour,
24.803,31.9915,Tumour,
18.6987,24.5532,Tumour,
16.1319,27.3551,Tumour,
19.1558,23.8202,Tumour,
28.2496,21.726,Tumour,
24.3778,20.1417,Tumour,
30.3649,28.7884,Tumour,
20.3319,19.9752,Tumour,
15.8276,26.6318,Tumour,
19.5032,25.9366,Tumour,
30.0432,26.9879,Tumour,
28.9135,21.6266,Tumour,
20.0631,21.5201,Tumour,
24.0047,25.1654,Tumour,
21.7335,24.3871,Tumour,
22.5922,32.3166,Tumour,
27.3899,29.223,Tumour,
30.7378,26.6268,Tumour,
24.9616,23.0319,Tumour,
21.685,27.9073,Tumour,
26.756,27.5249,Tumour,
18.9709,27.8282,Tumour,
19.831,24.5669,Tumour,
21.7058,21.6677,Tumour,
27.4125,27.1696,Tumour,
30.8219,25.9696,Tumour,
25.4146,25.5322,Tumour,
21.5429,26.5681,Tumour,
23.3156,21.4941,Tumour,
28.1099,24.1336,Tumour,
27.1986,20.8487,Tumour,
26.6271,18.9924,Tumour,
26.3875,30.2332,Tumour,
30.1522,23.2344,Tumour,
23.1099,20.8721,Tumour,
17.8922,24.1946,Tumour,
17.6697,27.2958,Tumour,
25.8659,24.9709,Tumour,
25.9199,32.4833,Tumour,
25.5481,28.7197,Tumour,
23.7402,23.1223,Tumour,
22.8588,21.9315,Tumour,
19.4114,22.9644,Tumour,
29.6261,29.6571,Tumour,
28.0262,22.3887,Tumour,
27.0785,28.0773,Tumour,
20.3818,27.6294,Tumour,
18.4994,28.6744,Tumour,
21.5755,25.3828,Tumour,
20.7638,24.2989,Tumour,
29.2092,25.4581,Tumour,
22.9553,30.4635,Tumour,
22.8622,27.7293,Tumour,
23.0359,28.9794,Tumour,
24.3129,27.2451,Tumour,
30.1011,24.9286,Tumour,
28.0787,28.3358,Tumour,
21.7205,22.3094,Tumour,
25.3485,31.6914,Tumour,
16.1432,27.963,Tumour,
22.0579,30.0828,Tumour,
22.4797,20.8651,Tumour,
29.4898,24.9069,Tumour,
23.7593,20.1886,Tumour,
19.9824,29.331,Tumour,
29.6355,22.5728,Tumour,
17.3394,24.0439,Tumour,
18.2467,27.0466,Tumour,
25.0516,21.3421,Tumour,
20.7971,21.198,Tumour,
25.8147,29.8244,Tumour,
23.9703,31.1255,Tumour,
27.8585,19.2143,Tumour,
26.1423,28.5086,Tumour,
17.3587,28.5348,Tumour,
24.9784,28.4486,Tumour,
15.1526,27.7222,Tumour,
26.9774,22.8837,Tumour,
26.865,20.2542,Tumour,
