points_x,points_y,celltypes,phenotypes
35.0,8.0,Vessel,
1.0,22.0,Vessel,
8.0,36.0,Vessel,
1.0,23.0,Vessel,
1.0,34.0,Vessel,
32.0,6.0,Vessel,
2.0,2.0,Vessel,
45.0,5.0,Vessel,
27.0,49.0,Vessel,
2.0,29.0,Vessel,
7.0,35.0,Vessel,
6.0,26.0,Vessel,
2.0,30.0,Vessel,
13.0,2.0,Vessel,
32.0,9.0,Vessel,
42.0,34.0,Vessel,
13.0,46.0,Vessel,
29.0,47.0,Vessel,
30.0,44.0,Vessel,
32.0,49.0,Vessel,
1.0,45.0,Vessel,
7.0,33.0,Vessel,
11.0,6.0,Vessel,
1.0,32.0,Vessel,
1.0,24.0,Vessel,
39.0,40.0,Vessel,
2.0,43.0,Vessel,
7.0,34.0,Vessel,
35.0,46.0,Vessel,
14.0,49.0,Vessel,
12.0,41.0,Vessel,
23.0,8.0,Vessel,
1.0,7.0,Vessel,
48.0,15.0,Vessel,
37.0,9.0,Vessel,
